Warehouse Id,SKU,Title,Listing Id,FSN,Brand,Flipkart Selling Price,Live on Website,Sales 7D,Sales 14D,Sales 30D,Sales 60D,Sales 90D,B2B Scheduled,Transfers Scheduled,B2B Shipped,Transfers Shipped,B2B Receiving,Transfers Receiving,Reserved for Orders and Recalls,Reserved for Internal Processing,Returns Processing,Orders to Dispatch,Recalls to Dispatch,Damaged,QC Reject,Catalog Reject,Returns Reject,Seller Return Reject,Miscellaneous,Length (in cm),Breadth (in cm),Height (in cm),Weight (in kg),Fulfilment Type,F Assured Badge
gur_san_wh_nl_01nl,Jivo_So_Olive_Oil_1+1L,JIVO So Olive Rice Bran & Olive Blend Cooking Oil Nutritious Healthy Ideal Daily Use Blended Oil PET Bottle,LSTEDOHBH2URWDMHPXCBB7KUB,EDOHBH2URWDMHPXC,JIVO,613,164,6,14,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.543752,23.058882,8.185404,2.07,"Smart/Flipkart, Seller",No
malur_bts,Extra Virgin 1L,JIVO Extra Virgin Olive Oil Plastic Bottle,LSTEDOG2NMEHAREDMZ3K5TWXU,EDOG2NMEHAREDMZ3,JIVO,802,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.755856,7.885938,7.98576,0.97,Seller,Yes
gur_san_wh_nl_01nl,New_Sunflower Oil 5L-Local,JIVO Natural & Healthy Cooking Sunflower Oil Can,LSTEDOHYSCZHPAA3JDHACPELU,EDOHYSCZHPAA3JDH,JIVO,1134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.543752,21.661374,11.279886,4.788,Seller,Yes
malur_bts,Canola 1L,JIVO Canola 1 Litre Cooking Oil Canola Oil Plastic Bottle,LSTEDOGDTNZGDAHUDUJHKOWES,EDOGDTNZGDAHUDUJ,JIVO,330,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.256746,8.285226,8.48487,0.966,Seller,Yes
malur_bts,Extra Light 1L,JIVO Extra Light 1 Litre Cooking Oil Olive Oil Plastic Bottle,LSTEDOGE5WHZBGW4SKAMBXBYJ,EDOGE5WHZBGW4SKA,JIVO,633,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.055322,8.584692,7.187184,0.942,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Extra light 1+1L,JIVO Extra Light Olive Oil 1+1 Ltr Olive Oil Plastic Bottle,LSTEDOFT6PR7QMYHGJHKOZZBD,EDOFT6PR7QMYHGJH,JIVO,1058,0,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.94838,18.666714,8.085582,1.978,Seller,Yes
malur_bts,Mustard Oil 5L,JIVO Cold Pressed Pure Cooking Mustard Oil Can,LSTEDOGDVWEUPPWVGED50RMEI,EDOGDVWEUPPWVGED,JIVO,1228,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.846778,21.761196,12.278106,4.797,Seller,Yes
gur_san_wh_nl_01nl,Extra Virgin 1+1L,JIVO Extra Virgin Olive Oil Plastic Bottle,LSTEDOG2NMPHJZH6GJCOBRGZD,EDOG2NMPHJZH6GJC,JIVO,1481,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seller,Yes
gur_san_wh_nl_01nl,Extra Light1Ltr-Pomace1Ltr-ExtraVirgin1Ltr,JIVO Extra Light 1L+Pomace 1L+Extra Virgin 1L(PACK OF 3L) Olive Oil Plastic Bottle,LSTEDOGNZ74XZGU6ZHRQALEWX,EDOGNZ74XZGU6ZHR,JIVO,1604,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seller,Yes
malur_bts,Canola 5L,JIVO Cold Pressed Canola Oil Can,LSTEDOFTX47SWWQPRVS6YLLNE,EDOFTX47SWWQPRVS,JIVO,1639,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.746956,21.162264,11.878818,4.775,"Smart/Flipkart, Seller",Yes
