,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
9211,jivo,2025-08-04,Dibrugarh,dibrugarh,1401287,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9212,jivo,2025-08-04,Noida,shalimar garden,1403364,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
9213,jivo,2025-08-04,Mumbai,scruz bandra east,1403030,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
9214,jivo,2025-08-04,Bangalore,bellandur sarjapur,1392421,edible oils and ghee,olive oil,extra virgin olive oil,jivo extra virgin olive oil,1 ltr,67229,No,,,1799.0,1.0,1799.0
9215,jivo,2025-08-04,Delhi,malviya nagar,406774,edible oils and ghee,olive oil,extra virgin olive oil,jivo extra virgin olive oil,1 ltr,67229,No,,,1799.0,1.0,1799.0
9216,jivo,2025-08-04,Chandigarh,zirakpur,1388997,edible oils and ghee,edible oils,cold pressed sunflower oil,jivo cold pressed chemical free sunflower oil,5 L,685793,No,,,1350.0,1.0,1350.0
9217,jivo,2025-08-04,Hubli,chennamma circle,1400566,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,5.0,1375.0
9218,jivo,2025-08-04,Mumbai,lower parel worli,1392531,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
9219,jivo,2025-08-04,Bangalore,cv raman nagar,1393563,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 L,60711,No,,,255.0,1.0,255.0
9220,jivo,2025-08-04,Bangalore,koramangala,1396284,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
9221,jivo,2025-08-04,Hyderabad,vanasthalipuram,1404605,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9222,jivo,2025-08-04,Chandigarh,greater mohali,1397025,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9223,jivo,2025-08-04,Surat,athwa,1402789,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9224,jivo,2025-08-04,Chandigarh,panchkula,1385562,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9225,jivo,2025-08-04,Mumbai,panvel,1400977,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9226,jivo,2025-08-04,Surat,adajan,1403843,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
9227,jivo,2025-08-04,Mumbai,nerul,1335483,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,1.0,275.0
9228,jivo,2025-08-04,Hyderabad,vanasthalipuram,1404605,edible oils and ghee,edible oils,extra light olive oil,jivo extra light edible olive oil ideal for everyday indian cooking,5 L,95788,No,,,6499.0,1.0,6499.0
9229,jivo,2025-08-04,Hyderabad,kompally,1386717,edible oils and ghee,edible oils,pomace oil,jivo pomace daily cooking olive oil,2 L,88218,No,,,1449.0,1.0,1449.0
