Shipment Number,Fulfillment Type,Shipment Created At,Shipment Status,Fulfiller Name,Accepted At,Product Title,EAN,Sku,Qty,MRP,Promotion Amt,Shipping Charge,Item Total,Payment Method Used,Tracking Code,Shipping Agent Code,Invoice Id,Acceptance TAT Date & Time
17542888334931029934J,RFC Shipment,2025-08-04 11:57:14 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:38:41 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1946840012JIM,Shadowfax,S06ENB5AKFA06703,2025-08-04 14:57:14 +0530
17542888510711062710J,RFC Shipment,2025-08-04 11:57:31 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:41:45 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1946842380JIM,Shadowfax,S06ENB5AKFA06704,2025-08-04 14:57:31 +0530
17542896759141762205J,RFC Shipment,2025-08-04 12:11:16 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:26:11 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1946829382JIM,Shadowfax,S06ENB5AKFA06696,2025-08-04 15:11:16 +0530
17542907068381984716J,RFC Shipment,2025-08-04 12:28:27 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:27:29 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1946830738JIM,Shadowfax,S06ENB5AKFA06697,2025-08-04 15:28:27 +0530
17542908184221029321J,RFC Shipment,2025-08-04 12:30:20 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:49:21 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161562725,Delhivery,S06ENB5AKFA06709,2025-08-04 15:30:20 +0530
17542916892111066378J,RFC Shipment,2025-08-04 12:44:50 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,0,1650.0,0.0,0.0,0.0,Prepaid_Payments,,,,2025-08-04 15:44:50 +0530
17542918738511274941J,RFC Shipment,2025-08-04 12:47:55 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 17:25:43 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,Prepaid_Payments,115761161573542,Delhivery,S06ENB5AKFA06748,2025-08-04 15:47:55 +0530
17542919335711700972J,RFC Shipment,2025-08-04 12:48:58 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:03:42 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,3,1250.0,1203.0,0.0,2547.0,COD,21194011420602,Delhivery,S06ENB5AKFA06685,2025-08-04 15:48:58 +0530
17542931620091464766J,RFC Shipment,2025-08-04 13:09:22 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:35:43 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1946837685JIM,Shadowfax,S06ENB5AKFA06701,2025-08-04 16:09:22 +0530
17542934668361789035J,RFC Shipment,2025-08-04 13:14:27 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:26:05 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,Prepaid_Payments,115761161560065,Delhivery,S06ENB5AKFA06695,2025-08-04 16:14:27 +0530
17542943828791551224J,RFC Shipment,2025-08-04 13:29:44 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 14:01:00 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1946726196JIM,Shadowfax,S06ENB5AKFA06669,2025-08-04 16:29:44 +0530
17542946408941805975J,RFC Shipment,2025-08-04 13:34:01 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:43:36 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,SF1946843597JIM,Shadowfax,S06ENB5AKFA06707,2025-08-04 16:34:01 +0530
17542947194871249644J,RFC Shipment,2025-08-04 13:35:19 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:20:17 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,115761161559380,Delhivery,S06ENB5AKFA06691,2025-08-04 16:35:19 +0530
17542964154951358338J,RFC Shipment,2025-08-04 14:03:36 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-04 15:21:59 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161559553,Delhivery,S06ENB5AKFA06694,2025-08-04 17:03:36 +0530
