city,sku_id,brand_name,sku_name,sku_weight,sku_pack_type,sku_description,top_category_name,mid_category_name,leaf_category_name,soh,soh_value
Mangaluru,40249992,Jivo,Sunflower Oil - Cold Pressed Fortified With Vitamins A & D Chemical Free,5 L,Jar,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,2.0,1694.4
DehraDun,40166395,Jivo,Cold Press Kachi Ghani Mustard Oil,1 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,17.0,2867.1792
Ludhiana,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,1.0,1125.0
Lucknow-Kanpur,40309979,Jivo,Canola Omega-3 Rich Cooking Oil 1 L,1 L,Pouch,Jivo canola-omega-3-rich-cooking-oil-1-l 1 L Pouch,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,8.0,1530.88
Pune,40304419,Jivo,Cold-Pressed Soyabean Oil,5 L,Can,Jivo cold-pressed-soyabean-oil 5 L Can,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,44.0,34119.1
Lucknow-Kanpur,40250808,Jivo,Extra Virgin Olive Oil - Antioxidants Rich Suitable For Salads Saute,1 L,&,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,7.0,5645.57
Hyderabad,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,83.0,36593.2157
Noida,40335331,Jivo,Mojito Healthy Wheatgrass Juice - Sugar Free,200 ml,&,Jivo mojito-healthy-wheatgrass-juice-sugar-free 200 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",10.0,340.0
Pune,40335330,Jivo,Ginger Ale Healthy Wheatgrass Juice - Sugar Free,200 ml,&,Jivo ginger-ale-healthy-wheatgrass-juice-sugar-free 200 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",10.0,340.0
Agra,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,6.0,2586.0
Ludhiana,40304418,Jivo,Cold Pressed Soyabean Oil,1 L,Bottle,Jivo cold-pressed-soyabean-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,4.0,534.6535
Hyderabad,40304419,Jivo,Cold-Pressed Soyabean Oil,5 L,Can,Jivo cold-pressed-soyabean-oil 5 L Can,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,41.0,32249.25
Hyderabad,40335330,Jivo,Ginger Ale Healthy Wheatgrass Juice - Sugar Free,200 ml,&,Jivo ginger-ale-healthy-wheatgrass-juice-sugar-free 200 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",26.0,884.0
Noida,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,76.0,32745.5583
Delhi,40335338,Jivo,Rose Healthy Wheatgrass Juice,200 ml,&,Jivo rose-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,9.0,306.24
Delhi,282779,Jivo,Canola Oil - Cold Pressed,1 L,&,Jivo canola-oil-cold-pressed 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,38.0,8739.6257
Nagpur,282779,Jivo,Canola Oil - Cold Pressed,1 L,&,Jivo canola-oil-cold-pressed 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,18.0,4517.98
Chandigarh Tricity,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,12.0,5173.1236
Lucknow-Kanpur,40166396,Jivo,Cold Press Kachi Ghani Mustard Oil,5 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,9.0,7118.0296
Nagpur,40250809,Jivo,Extra Light Olive Oil - Antioxidants Rich Light Cooking Medium For Frying Grilling,2 L,&,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,7.0,7987.0
Vijayawada-Guntur,40250809,Jivo,Extra Light Olive Oil - Antioxidants Rich Light Cooking Medium For Frying Grilling,2 L,&,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,9.0,10269.0
Nashik,40166398,Jivo,Extra Light Olive Oil,1 L,Bottle,Jivo extra-light-olive-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,2.0,1140.0
Nashik,40166397,Jivo,Extra Light Olive Oil,5 L,Tin,Jivo extra-light-olive-oil 5 L Tin,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,2.0,5364.0
Visakhapatnam,40166398,Jivo,Extra Light Olive Oil,1 L,Bottle,Jivo extra-light-olive-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,12.0,6840.0
Hyderabad,40335334,Jivo,Apple Healthy Wheatgrass Juice,200 ml,&,Jivo apple-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,84.0,2855.3775
Gurgaon,40335337,Jivo,Mojito Healthy Wheatgrass Juice,200 ml,&,Jivo mojito-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,31.0,1055.55
Pune,40335334,Jivo,Apple Healthy Wheatgrass Juice,200 ml,&,Jivo apple-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,15.0,510.0
Ludhiana,40166396,Jivo,Cold Press Kachi Ghani Mustard Oil,5 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,3.0,2458.3335
Chandigarh Tricity,40250808,Jivo,Extra Virgin Olive Oil - Antioxidants Rich Suitable For Salads Saute,1 L,&,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,3.0,2419.53
Allahabad,40166396,Jivo,Cold Press Kachi Ghani Mustard Oil,5 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,2.0,1670.0
Lucknow-Kanpur,40317122,Jivo,Gold Multi-Source Edible Oil,5 l,&,Jivo gold-multi-source-edible-oil 5 l,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Blended Cooking Oils,4.0,2559.96
Noida,40309980,Jivo,Pomace Olive Oil,2 L,&,Jivo pomace-olive-oil 2 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,1.0,770.85
Gurgaon,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,69.0,77624.8922
Delhi,40166395,Jivo,Cold Press Kachi Ghani Mustard Oil,1 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,75.0,12788.0486
Lucknow-Kanpur,40304417,Jivo,Extra-Virgin Olive Oil,5 L,Tin,Jivo extra-virgin-olive-oil 5 L Tin,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,16.0,62256.5625
Mumbai,40335336,Jivo,Mango Healthy Wheatgrass Juice,200 ml,&,Jivo mango-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,17.0,578.0
Agra,40249992,Jivo,Sunflower Oil - Cold Pressed Fortified With Vitamins A & D Chemical Free,5 L,Jar,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,4.0,2988.3333
Mumbai,40335333,Jivo,Fizzy Water Flavoured With Peach,750 ml,&,Jivo fizzy-water-flavoured-with-peach 750 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",2.0,74.78
Mumbai,40335335,Jivo,Blueberry Healthy Wheatgrass Juice,200 ml,&,Jivo blueberry-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,12.0,408.0
Visakhapatnam,40309980,Jivo,Pomace Olive Oil,2 L,&,Jivo pomace-olive-oil 2 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,16.0,13952.0
Allahabad,40166395,Jivo,Cold Press Kachi Ghani Mustard Oil,1 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,3.0,511.0
Raipur,40304418,Jivo,Cold Pressed Soyabean Oil,1 L,Bottle,Jivo cold-pressed-soyabean-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,1.0,159.5
Noida,40249993,Jivo,Cold Pressed Sunflower Oil,1 L,Bottle,Jivo cold-pressed-sunflower-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,122.0,18299.852
Gurgaon,40335336,Jivo,Mango Healthy Wheatgrass Juice,200 ml,&,Jivo mango-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,34.0,1121.85
Bangalore,40335339,Jivo,Indian Tonic Water,200 ml,&,Jivo indian-tonic-water 200 ml,Beverages,Energy & Soft Drinks,Soda & Cocktail Mix,91.0,5878.6
Vijayawada-Guntur,40197821,Jivo,Pomace Olive Oil,5 L,&,Jivo pomace-olive-oil 5 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,7.0,15260.0
Delhi,40304418,Jivo,Cold Pressed Soyabean Oil,1 L,Bottle,Jivo cold-pressed-soyabean-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,10.0,1393.1099
Mangaluru,40249993,Jivo,Cold Pressed Sunflower Oil,1 L,Bottle,Jivo cold-pressed-sunflower-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,5.0,847.2
Delhi,40166396,Jivo,Cold Press Kachi Ghani Mustard Oil,5 L,Bottle,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,15.0,12079.55
Visakhapatnam,40166397,Jivo,Extra Light Olive Oil,5 L,Tin,Jivo extra-light-olive-oil 5 L Tin,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,5.0,14260.0
Kolkata,40197821,Jivo,Pomace Olive Oil,5 L,&,Jivo pomace-olive-oil 5 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,1.0,2075.01
Vijayawada-Guntur,40249993,Jivo,Cold Pressed Sunflower Oil,1 L,Bottle,Jivo cold-pressed-sunflower-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,24.0,4080.0
Gurgaon,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,110.0,47406.2103
Bangalore,40335331,Jivo,Mojito Healthy Wheatgrass Juice - Sugar Free,200 ml,&,Jivo mojito-healthy-wheatgrass-juice-sugar-free 200 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",35.0,1190.0
Patna,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,17.0,7502.6125
Hyderabad,40335333,Jivo,Fizzy Water Flavoured With Peach,750 ml,&,Jivo fizzy-water-flavoured-with-peach 750 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",15.0,611.84
Ludhiana,40166398,Jivo,Extra Light Olive Oil,1 L,Bottle,Jivo extra-light-olive-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,5.0,2671.5
Kolkata,40335334,Jivo,Apple Healthy Wheatgrass Juice,200 ml,&,Jivo apple-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,32.0,1600.0
Lucknow-Kanpur,40197821,Jivo,Pomace Olive Oil,5 L,&,Jivo pomace-olive-oil 5 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,2.0,3823.5
Gurgaon,40335338,Jivo,Rose Healthy Wheatgrass Juice,200 ml,&,Jivo rose-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,36.0,1225.08
Lucknow-Kanpur,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,13.0,14624.93
Ranchi,40166398,Jivo,Extra Light Olive Oil,1 L,Bottle,Jivo extra-light-olive-oil 1 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,32.0,18029.1031
Gurgaon,40335334,Jivo,Apple Healthy Wheatgrass Juice,200 ml,&,Jivo apple-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,25.0,851.2
Bangalore,40335332,Jivo,Fizzy Water Flavoured With Lemon,750 ml,&,Jivo fizzy-water-flavoured-with-lemon 750 ml,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",3.0,122.4
Patna,282779,Jivo,Canola Oil - Cold Pressed,1 L,&,Jivo canola-oil-cold-pressed 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,16.0,4016.16
Mumbai,40166397,Jivo,Extra Light Olive Oil,5 L,Tin,Jivo extra-light-olive-oil 5 L Tin,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,3.0,8083.5
Noida,40335340,Jivo,Mango Healthy Wheatgrass Juice,500 ml,&,Jivo mango-healthy-wheatgrass-juice 500 ml,Beverages,Fruit Juices & Drinks,Juices,11.0,797.83
Gurgaon,40304419,Jivo,Cold-Pressed Soyabean Oil,5 L,Can,Jivo cold-pressed-soyabean-oil 5 L Can,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,34.0,23079.34
Visakhapatnam,282779,Jivo,Canola Oil - Cold Pressed,1 L,&,Jivo canola-oil-cold-pressed 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,13.0,3262.9933
Nagpur,282780,Jivo,Canola Oil,5 L,Bottle,Jivo canola-oil 5 L Bottle,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,8.0,9840.0
Noida,40249992,Jivo,Sunflower Oil - Cold Pressed Fortified With Vitamins A & D Chemical Free,5 L,Jar,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,30.0,22100.0
Delhi,40250809,Jivo,Extra Light Olive Oil - Antioxidants Rich Light Cooking Medium For Frying Grilling,2 L,&,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,29.0,31047.1525
Noida,40335336,Jivo,Mango Healthy Wheatgrass Juice,200 ml,&,Jivo mango-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,14.0,475.86
Noida,40335335,Jivo,Blueberry Healthy Wheatgrass Juice,200 ml,&,Jivo blueberry-healthy-wheatgrass-juice 200 ml,Beverages,Fruit Juices & Drinks,Juices,7.0,238.0
Bangalore,40197820,Jivo,Pomace Olive Oil,1 L,&,Jivo pomace-olive-oil 1 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,1.0,420.39
Nagpur,40304419,Jivo,Cold-Pressed Soyabean Oil,5 L,Can,Jivo cold-pressed-soyabean-oil 5 L Can,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,6.0,4788.0
Lucknow-Kanpur,40309980,Jivo,Pomace Olive Oil,2 L,&,Jivo pomace-olive-oil 2 L,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,3.0,2299.0
