City,SKU Name,SKU Code,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,Units
Prayagraj,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,10
Gorakhpur,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,3
Delhi,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,86
Bareilly,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Amritsar,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Nagpur,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
SAS Nagar,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,15
Bengaluru,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,134
Ghaziabad,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Kanpur,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,13
Faridabad,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,6
Jhajjar,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,8
SAS Nagar,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,17
Dehradun,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,6
Amritsar,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Ludhiana,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Kanpur,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,12
Lucknow,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,34
Chennai,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,5
Dehradun,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,5
Nashik,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Kochi,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Hyderabad,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,14
