date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,4.0,5996.0,2789.03
20250801 - 20250810,Lucknow Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,2.0,2998.0,1394.6
20250801 - 20250810,Bangalore,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,88.0,24200.0,17669.52
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40309979,Jivo canola-omega-3-rich-cooking-oil-1-l 1 L Pouch ,1 L,1.0,299.0,240.16
20250801 - 20250810,Hyderabad,Jivo,beverages,energy-soft-drinks,soda-cocktail-mix,40335339,Jivo indian-tonic-water 200 ml  ,200 ml,2.0,190.0,133.0
20250801 - 20250810,Ranchi,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,1.0,375.0,310.0
20250801 - 20250810,Kolkata,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,16.0,16784.0,9003.13
20250801 - 20250810,Nagpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,1.0,1049.0,562.77
20250801 - 20250810,Pune,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,1.0,50.0,30.0
20250801 - 20250810,Mumbai,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335331,Jivo mojito-healthy-wheatgrass-juice-sugar-free 200 ml  ,200 ml,4.0,200.0,177.5
20250801 - 20250810,Vijayawada-Guntur,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,10.0,2750.0,2014.5
20250801 - 20250810,Lucknow Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,1.0,275.0,177.75
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,47.0,12925.0,7981.2
20250801 - 20250810,Ranchi Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,1.0,1049.0,1049.0
20250801 - 20250810,Noida,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,0.0,0.0,0.0
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250808,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L  ,1 L,7.0,12593.0,7423.92
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,2.0,3300.0,2805.0
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,356.0,97900.0,71716.2
20250801 - 20250810,Kolkata,Jivo,beverages,fruit-juices-drinks,juices,40335334,Jivo apple-healthy-wheatgrass-juice 200 ml  ,200 ml,2.0,100.0,100.0
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,7.0,7343.0,3939.39
20250801 - 20250810,Lucknow Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,1.0,1049.0,1049.0
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,1.0,50.0,30.0
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,juices,40335336,Jivo mango-healthy-wheatgrass-juice 200 ml  ,200 ml,3.0,150.0,150.0
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249992,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar ,5 L,19.0,25650.0,16834.75
