date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20250801 - 20250810,Mumbai,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,38.0,14250.0,11838.25
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166396,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle ,5 L,27.0,33810.0,25576.18
20250801 - 20250810,Patna,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,3.0,4497.0,2231.55
20250801 - 20250810,DehraDun,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,1.0,1650.0,1650.0
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335331,Jivo mojito-healthy-wheatgrass-juice-sugar-free 200 ml  ,200 ml,1.0,50.0,50.0
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166396,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle ,5 L,4.0,5000.0,3857.32
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197821,Jivo pomace-olive-oil 5 L  ,5 L,2.0,9998.0,5384.6
20250801 - 20250810,Noida,Jivo,beverages,fruit-juices-drinks,juices,40335334,Jivo apple-healthy-wheatgrass-juice 200 ml  ,200 ml,1.0,50.0,42.5
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,13.0,2925.0,2182.68
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335330,Jivo ginger-ale-healthy-wheatgrass-juice-sugar-free 200 ml  ,200 ml,1.0,50.0,30.0
