item_id,item_name,manufacturer_id,manufacturer_name,city_id,city_name,category,date,qty_sold,mrp
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,164,Patiala,"Dry Fruits, Masala & Oil",2025-08-02,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,37,Faridabad,"Dry Fruits, Masala & Oil",2025-08-05,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,54,Ludhiana,"Dry Fruits, Masala & Oil",2025-08-03,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,10,Ghaziabad,"Dry Fruits, Masala & Oil",2025-08-03,14.0,23100.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,167,Zirakpur,"Dry Fruits, Masala & Oil",2025-08-03,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,66,Chandigarh,"Dry Fruits, Masala & Oil",2025-08-01,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,87,Amritsar,"Dry Fruits, Masala & Oil",2025-08-04,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,10,Ghaziabad,"Dry Fruits, Masala & Oil",2025-08-06,4.0,6600.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,66,Chandigarh,"Dry Fruits, Masala & Oil",2025-08-06,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,167,Zirakpur,"Dry Fruits, Masala & Oil",2025-08-02,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,19,Sonipat,"Dry Fruits, Masala & Oil",2025-08-02,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,10,Ghaziabad,"Dry Fruits, Masala & Oil",2025-08-05,9.0,14850.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,110,Mohali,"Dry Fruits, Masala & Oil",2025-08-05,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,9,Gurgaon,"Dry Fruits, Masala & Oil",2025-08-01,3.0,4950.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,299,New Chandigarh,"Dry Fruits, Masala & Oil",2025-08-01,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,339,Sri_Ganganagar,"Dry Fruits, Masala & Oil",2025-08-01,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,10,Ghaziabad,"Dry Fruits, Masala & Oil",2025-08-04,8.0,13200.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,54,Ludhiana,"Dry Fruits, Masala & Oil",2025-08-04,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,142,Meerut,"Dry Fruits, Masala & Oil",2025-08-01,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,55,Jalandhar,"Dry Fruits, Masala & Oil",2025-08-06,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,299,New Chandigarh,"Dry Fruits, Masala & Oil",2025-08-06,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,9,Gurgaon,"Dry Fruits, Masala & Oil",2025-08-02,5.0,8250.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,125,Panchkula,"Dry Fruits, Masala & Oil",2025-08-02,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,357,Dharamshala,"Dry Fruits, Masala & Oil",2025-08-02,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,240,Kapurthala,"Dry Fruits, Masala & Oil",2025-08-02,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,116,Rohtak,"Dry Fruits, Masala & Oil",2025-08-05,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,37,Faridabad,"Dry Fruits, Masala & Oil",2025-08-03,3.0,4950.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,12,Jaipur,"Dry Fruits, Masala & Oil",2025-08-04,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,55,Jalandhar,"Dry Fruits, Masala & Oil",2025-08-04,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,7,Delhi,"Dry Fruits, Masala & Oil",2025-08-06,13.0,21450.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,221,Dehradun,"Dry Fruits, Masala & Oil",2025-08-06,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,262,Saharanpur,"Dry Fruits, Masala & Oil",2025-08-02,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,66,Chandigarh,"Dry Fruits, Masala & Oil",2025-08-02,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,7,Delhi,"Dry Fruits, Masala & Oil",2025-08-05,7.0,11550.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,66,Chandigarh,"Dry Fruits, Masala & Oil",2025-08-03,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,7,Delhi,"Dry Fruits, Masala & Oil",2025-08-03,12.0,19800.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,55,Jalandhar,"Dry Fruits, Masala & Oil",2025-08-03,2.0,3300.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,319,Yamunanagar,"Dry Fruits, Masala & Oil",2025-08-01,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,80,Panipat,"Dry Fruits, Masala & Oil",2025-08-01,1.0,1650.0
10048295,Jivo Cold Pressed Canola Oil (5 l)(Pack),176,Jivo Wellness Pvt. Ltd.,7,Delhi,"Dry Fruits, Masala & Oil",2025-08-04,17.0,28050.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,7,Delhi,"Dry Fruits, Masala & Oil",2025-08-05,129.0,135321.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,252,Hamirpur,"Dry Fruits, Masala & Oil",2025-08-05,2.0,2098.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,87,Amritsar,"Dry Fruits, Masala & Oil",2025-08-05,7.0,7343.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,91,Bahadurgarh,"Dry Fruits, Masala & Oil",2025-08-05,1.0,1049.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,104,Moradabad,"Dry Fruits, Masala & Oil",2025-08-05,1.0,1049.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,125,Panchkula,"Dry Fruits, Masala & Oil",2025-08-06,3.0,3147.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,23,Ambala,"Dry Fruits, Masala & Oil",2025-08-06,1.0,1049.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,55,Jalandhar,"Dry Fruits, Masala & Oil",2025-08-06,6.0,6294.0
10143020,Jivo Pomace Olive Oil(Bottle),176,Jivo Wellness Pvt. Ltd.,177,Pathankot,"Dry Fruits, Masala & Oil",2025-08-06,4.0,4196.0
