id,po_number,po_date,po_release_date,expected_delivery_date,po_expiry_date,vendor_name,payment_terms,total_items,total_quantity,total_taxable_value,total_tax_amount,grand_total,unique_hsn_codes,status,created_by,created_at,updated_at
1,SW_20250807_045434,2025-08-07 04:54:34.559,,,,,,0,0,,,,,Open,system,2025-08-07 04:54:37.088813,2025-08-07 04:54:37.088813
2,SW_20250807_051250,2025-08-07 05:12:50.306,,,,,,0,0,,,,,Open,system,2025-08-07 05:12:50.868854,2025-08-07 05:12:50.868854
